pChEMBL Value,Canomicalsmiles
0.0,COc1cccc(N2CCN(C(=O)c3nnnn3-c3ccc(F)cc3)CC2)c1
1.0,COc1ccc(/C=C/C(=O)c2cc(OC)nc(OC)c2)cc1
0.0,COc1cc2c(c(N)c1OC)C(=O)/C(=C/c1cc(C)c(O)c(C)c1)C2
1.0,COc1cc(C(=O)/C(F)=C/c2c(C)[nH]c3ccccc23)cc(OC)c1OC
0.0,Cc1ncc([N+](=O)[O-])n1CCOC(=O)NC(n1cnc2c(NC(=O)c3ccccc3)ncnc21)C(Cl)(Cl)Cl
0.0,O=C(N/N=C/c1ccco1)c1[nH]c2ccc(Br)cc2c1-c1ccccc1
0.0,Cc1cc(C(=O)N(C)CCCN2c3ccccc3CCc3ccccc32)on1
0.0,COc1ccc2c(c1)C(=O)C(=O)N2C(=O)c1cc(OC)c(OC)c(OC)c1
1.0,COc1cc(-c2nc(C(=O)Nc3ccccc3F)nn2-c2ccc(F)c(Cl)c2)cc(OC)c1OC
0.0,COc1ccc2c(c1OC)C(=O)O[C@@H]2[C@H]1c2c(c(/N=C/c3cnc4ccccc4c3)c3c(c2OC)OCO3)CCN1C
1.0,CCOc1ccc(-c2c[nH]cc2-c2cc(OC)c(OC)c(OC)c2)cc1Cl
1.0,COc1ccc(-c2ccc3ncn(-c4cc(OC)c(OC)c(OC)c4)c3c2)cc1O
0.0,CC(=O)Nc1ccc2nc3s/c(=C\c4ccc(C)cc4)c(=O)n3c2c1
0.0,COc1ccc(C(=O)C2CCc3c(ccc(OC)c3N)C2)cc1OC
1.0,C=C(c1cc(C)nc(C)c1)c1ccc2c(ccn2C)c1
0.0,COc1cccc(C(=O)c2ccc(OC)c3ccccc23)c1
1.0,C=C(c1ccc(OC)c(O)c1)c1cc(OC)c(OC)c(OC)c1
1.0,C=Cc1ccc(COc2cc3c(ccc2=O)-c2c(cc(OC)c(OC)c2OC)CC[C@@H]3NC(C)=O)cc1
1.0,COc1cc([C@@H]2c3cc4c(cc3C[C@H]3C(=O)NC(=O)N23)OCCO4)cc2c1OCO2
1.0,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2
0.0,COc1ccc(-c2nc3ccccn3c2C(=O)/C=C\Nc2ccc3cc[nH]c3c2)cc1
